Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Villanova,39.8%,34.4%,33.3%,42.3%,37.0%,33.8%
2,N Dakota St,39.8%,34.2%,47.8%,36.9%,41.9%,37.7%
3,Bradley,39.6%,28.6%,29.6%,40.6%,38.8%,37.0%
4,Houston,39.6%,37.7%,35.7%,42.0%,37.1%,34.8%
5,Liberty,39.5%,49.4%,60.0%,38.3%,40.3%,35.7%
6,Xavier,39.1%,44.1%,48.0%,40.3%,37.9%,34.2%
7,Wright St,38.6%,37.3%,22.7%,42.0%,36.1%,38.4%
8,Holy Cross,38.6%,46.4%,52.2%,39.6%,38.1%,35.0%
9,Yale,38.4%,40.7%,38.1%,35.7%,40.1%,35.0%
10,UMBC,38.4%,43.9%,45.5%,40.0%,36.7%,35.4%
11,Purdue,38.3%,35.0%,33.3%,41.7%,35.0%,40.4%
12,St Thomas,38.3%,38.1%,28.6%,40.6%,37.1%,35.7%
13,Santa Clara,38.3%,43.2%,59.3%,39.3%,37.5%,34.5%
14,Sam Houston,38.3%,35.8%,10.5%,40.9%,36.9%,35.1%
15,Miami OH,38.2%,42.7%,50.0%,41.8%,35.2%,36.2%
16,Belmont,38.1%,28.8%,26.9%,35.3%,40.6%,37.2%
17,UCSB,38.1%,26.8%,17.1%,41.6%,34.9%,35.4%
18,Memphis,38.0%,27.5%,46.2%,37.3%,38.5%,35.0%
19,Iowa,38.0%,42.1%,45.8%,40.3%,35.0%,35.1%
20,Duke,37.7%,27.8%,37.0%,38.5%,36.8%,37.7%
21,Delaware,37.7%,47.9%,31.8%,38.5%,37.2%,33.0%
22,Virginia,37.5%,35.9%,36.0%,36.8%,38.3%,35.8%
23,Texas Tech,37.4%,34.3%,28.3%,38.4%,36.5%,35.9%
24,Kentucky,37.4%,38.1%,26.3%,38.9%,35.3%,40.9%
25,Cornell,37.4%,38.2%,40.7%,38.6%,36.4%,34.1%
26,W Illinois,37.3%,41.2%,45.5%,35.4%,38.6%,31.7%
27,SMU,37.3%,27.5%,26.1%,36.3%,38.7%,34.7%
28,Maryland,37.2%,41.7%,33.3%,36.9%,37.6%,28.9%
29,CS Bakersfield,37.2%,30.4%,30.0%,35.3%,38.8%,32.1%
30,Purdue FW,37.1%,30.7%,29.6%,35.2%,38.4%,36.0%
31,BYU,37.0%,36.9%,35.0%,36.5%,37.6%,34.8%
32,Jacksonville,37.0%,30.9%,31.8%,38.4%,36.2%,33.8%
33,N Colorado,37.0%,44.4%,56.3%,41.3%,34.6%,35.1%
34,Oklahoma,37.0%,39.2%,36.0%,37.0%,36.9%,34.5%
35,Illinois St,36.9%,27.3%,22.2%,36.5%,37.4%,28.8%
36,Clemson,36.9%,26.9%,30.0%,38.3%,35.3%,35.1%
37,Samford,36.9%,36.0%,35.3%,37.4%,36.4%,39.5%
38,N Iowa,36.8%,33.3%,28.6%,40.2%,33.7%,34.1%
39,IU Indy,36.8%,44.4%,58.3%,34.3%,38.4%,24.7%
40,Ohio St,36.8%,31.3%,22.7%,38.2%,35.1%,34.5%
41,USC,36.7%,34.8%,29.2%,40.8%,31.3%,35.5%
42,Missouri,36.7%,28.6%,25.0%,39.7%,32.9%,31.9%
43,Canisius,36.7%,29.3%,33.3%,38.0%,35.8%,32.9%
44,Lipscomb,36.7%,38.8%,44.4%,39.1%,34.2%,38.1%
45,Butler,36.6%,33.8%,30.0%,37.3%,36.0%,35.0%
46,Howard,36.6%,31.3%,37.5%,43.1%,33.0%,37.2%
47,Akron,36.6%,41.7%,33.3%,37.4%,35.9%,31.6%
48,Little Rock,36.6%,39.2%,16.7%,35.9%,37.1%,34.5%
49,High Point,36.6%,36.2%,35.7%,37.2%,36.0%,32.8%
50,Chattanooga,36.6%,35.9%,30.0%,38.5%,34.9%,35.7%
51,Colorado St,36.6%,45.9%,50.0%,39.3%,34.0%,33.0%
52,Auburn,36.6%,29.9%,31.4%,35.3%,37.6%,35.2%
53,Oregon St,36.5%,30.2%,31.8%,39.2%,33.2%,33.1%
54,Washington St,36.5%,40.3%,38.1%,37.4%,35.9%,33.9%
55,Lehigh,36.4%,34.5%,46.7%,38.4%,35.2%,32.2%
56,Texas St,36.4%,35.3%,30.8%,40.0%,33.5%,31.5%
