Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Alabama,78.8,82.1,78.6,78.9,78.7,76.2
2,Cal Poly,77.5,74.7,74.1,77.2,77.6,68.9
3,South Dakota,77.0,79.3,80.1,77.3,76.7,72.2
4,Winthrop,76.8,74.2,73.3,78.7,75.6,71.2
5,UCF,75.9,77.2,87.2,73.3,79.0,71.3
6,New Mexico,75.5,69.4,64.7,76.6,74.6,74.2
7,Bryant,75.5,76.0,74.6,75.0,75.8,77.5
8,N Florida,75.1,73.6,72.8,74.4,75.6,70.5
9,Alabama A&M,75.1,63.4,64.2,76.2,74.0,73.7
10,SC Upstate,75.0,76.6,76.3,76.0,74.4,69.9
11,CS Northridge,74.8,73.8,71.2,76.1,74.1,75.4
12,W Kentucky,74.6,69.3,70.9,75.3,73.9,77.2
13,Akron,74.6,71.0,64.0,73.2,75.7,68.4
14,Indiana St,74.5,73.9,73.6,72.7,75.7,73.1
15,Illinois,74.5,74.5,76.0,73.9,75.2,72.3
16,Grand Canyon,74.5,73.9,71.5,75.1,73.8,71.8
17,Morgan St,74.5,76.7,67.2,73.8,74.9,73.8
18,Kentucky,74.4,77.9,83.8,74.4,74.5,76.7
19,Tennessee St,74.4,67.3,62.8,76.1,73.3,71.1
20,Fresno St,74.3,68.0,70.4,72.6,75.6,68.4
21,AR-Pine Bluff,74.0,65.4,64.3,73.8,74.2,74.7
22,Mercer,74.0,71.1,70.7,72.2,74.9,69.4
23,Ohio,74.0,75.6,81.8,72.8,74.9,70.9
24,Samford,73.9,73.0,69.8,73.4,74.3,75.7
25,UMass,73.9,71.3,70.5,73.4,74.3,71.5
26,Memphis,73.8,78.3,77.4,73.7,74.0,74.4
27,Delaware St,73.8,70.8,69.1,75.6,72.8,72.2
28,Southern Miss,73.8,70.7,72.4,74.0,73.6,71.0
29,W Carolina,73.7,70.7,69.5,73.2,74.1,70.1
30,Buffalo,73.7,70.0,70.5,74.8,72.8,72.1
31,Texas So,73.7,70.1,76.7,72.1,74.5,71.2
32,Dartmouth,73.6,73.2,74.3,72.6,74.4,67.2
33,Oklahoma St,73.6,77.0,76.4,74.1,73.2,70.2
34,Washington St,73.6,76.7,76.0,74.8,72.7,68.5
35,Cornell,73.6,74.2,68.8,73.1,74.0,73.0
36,San Diego,73.6,75.8,76.5,73.2,74.0,73.8
37,St John's,73.4,71.9,66.1,74.1,72.6,71.5
38,S Carolina St,73.4,72.4,70.4,72.2,73.9,72.4
39,UMBC,73.4,69.2,76.3,71.7,75.0,76.8
40,Gonzaga,73.3,73.2,73.5,73.5,73.2,70.7
41,Georgia So,73.3,71.5,72.6,72.6,73.7,72.9
42,Rhode Island,73.2,74.5,71.7,73.8,72.6,70.6
43,Kennesaw St,73.0,68.1,65.7,72.9,73.0,77.5
44,North Carolina,73.0,71.9,73.2,73.7,72.5,73.3
45,Temple,72.9,66.7,71.5,73.0,72.9,70.9
46,Lindenwood,72.9,72.1,70.4,72.3,73.2,69.7
47,Michigan,72.9,70.8,66.8,73.7,72.1,71.3
48,Iowa,72.8,70.0,74.5,72.9,72.8,74.3
49,N Illinois,72.8,73.9,83.1,70.7,74.4,71.9
50,Prairie View,72.8,70.7,70.2,71.0,73.5,73.6
51,Howard,72.8,77.4,83.6,73.9,72.2,71.7
52,Fordham,72.8,72.0,64.4,74.5,71.3,72.6
53,Columbia,72.8,76.3,79.5,72.9,72.6,71.2
54,Quinnipiac,72.7,69.5,65.8,72.1,73.2,72.7
55,Rutgers,72.7,76.9,86.6,70.8,74.6,70.7
56,Charleston,72.7,70.4,67.1,74.6,71.2,72.1
57,UT Rio Grande,72.7,75.5,70.1,71.6,73.5,75.1
58,Arkansas St,72.6,74.0,76.1,71.6,73.5,71.9
59,Arizona St,72.6,69.7,67.9,72.7,72.6,72.5
60,NC Asheville,72.6,72.5,71.8,72.7,72.6,71.7
61,Florida Intl,72.6,69.9,66.5,74.6,71.2,73.7
62,Penn St,72.6,72.7,75.1,73.3,71.7,72.5
63,Arizona,72.6,69.3,66.7,72.6,72.5,76.3
64,Florida,72.5,74.8,70.3,71.4,73.5,75.8
65,Maryland,72.5,74.5,76.1,72.8,72.1,68.7
66,Middle Tenn,72.5,79.3,93.6,72.3,72.6,69.6
67,Sacred Heart,72.5,76.1,77.6,72.8,72.3,72.1
68,Jackson St,72.5,68.2,65.7,73.8,72.0,72.1
69,S Florida,72.4,72.6,72.5,73.1,71.9,70.9
70,Purdue FW,72.4,73.6,79.1,73.6,71.6,73.7
71,Florida Atlantic,72.4,67.8,71.2,70.1,73.9,72.3
72,LSU,72.4,72.4,75.6,71.0,74.1,72.8
73,Florida St,72.3,68.1,69.1,73.1,71.6,73.9
74,Arkansas,72.3,73.0,74.1,72.6,72.1,74.9
75,New Orleans,72.3,72.8,69.3,72.6,72.1,74.1
76,Youngstown St,72.2,69.9,69.7,71.8,72.5,72.8
77,Santa Clara,72.2,72.9,69.5,72.8,71.6,71.4
78,Vanderbilt,72.1,74.4,72.7,72.7,71.5,69.6
79,William & Mary,72.1,75.1,80.2,70.6,73.2,67.9
80,Mississippi St,72.1,75.0,76.6,72.0,72.2,70.6
81,Abl Christian,72.1,79.9,77.6,74.2,70.6,72.8
82,Iowa St,72.1,68.7,69.7,73.0,71.0,69.3
83,Southern,72.0,69.6,77.7,71.1,72.4,71.2
84,UAB,72.0,71.6,75.6,72.5,71.5,71.7
85,Bucknell,72.0,71.1,70.4,69.8,74.1,66.4
86,Belmont,71.9,70.1,60.4,74.5,69.7,73.3
87,Bowling Green,71.9,70.9,78.6,72.6,71.3,71.6
88,UC Irvine,71.9,72.0,71.3,71.0,72.4,71.8
89,Gardner-Webb,71.9,70.5,69.2,69.6,73.2,72.2
90,Charleston So,71.9,67.3,67.9,71.1,72.3,69.1
91,S Utah,71.9,73.0,73.0,71.9,71.8,72.9
92,Syracuse,71.8,67.8,66.0,73.9,69.6,73.3
93,UTSA,71.8,70.0,67.8,70.7,72.6,74.5
94,Miami OH,71.8,69.0,64.0,72.8,71.1,69.5
95,Queens,71.8,67.1,68.7,74.3,70.2,75.2
96,Portland,71.8,72.5,72.2,72.6,71.2,70.1
97,California,71.8,82.8,65.7,70.8,72.8,73.1
98,Ohio St,71.8,73.7,67.1,73.2,70.2,69.6
99,Wichita St,71.8,76.6,76.4,71.3,72.2,71.8
100,Illinois Chicago,71.7,69.1,67.7,74.5,69.8,71.8
101,Delaware,71.7,72.2,65.9,73.4,70.7,69.5
102,Mississippi,71.7,71.6,65.6,72.2,71.3,70.8
103,Georgia Tech,71.7,69.2,71.5,72.2,71.0,70.9
104,Kansas,71.7,77.8,74.1,69.7,73.7,71.4
105,La Salle,71.7,70.5,69.8,70.5,72.6,70.3
106,North Dakota,71.7,75.9,70.7,72.1,71.4,69.9
107,Longwood,71.7,74.8,77.6,71.8,71.6,68.6
108,NC Central,71.6,71.9,71.4,71.9,71.5,69.4
109,Georgia St,71.6,72.4,75.1,70.9,72.2,72.4
110,Robert Morris,71.5,70.4,69.7,72.1,70.9,71.0
111,Le Moyne,71.5,68.7,67.8,73.7,70.2,70.0
112,Missouri,71.5,72.4,64.9,71.8,71.1,70.4
113,Nebraska,71.5,73.0,68.5,71.6,71.3,71.6
114,S Dakota St,71.4,72.4,74.5,73.4,70.2,69.8
115,Xavier,71.4,70.1,68.5,71.7,71.1,73.5
116,Marshall,71.4,69.8,70.0,70.7,72.0,74.1
117,Milwaukee,71.4,70.2,67.0,70.0,72.6,73.6
118,SMU,71.4,68.8,73.3,72.8,69.8,70.7
119,Oklahoma,71.4,71.8,76.0,71.1,71.6,70.1
120,F Dickinson,71.3,71.5,76.4,69.7,72.3,75.2
121,UC Riverside,71.3,71.4,69.5,71.5,71.1,69.4
122,C Arkansas,71.3,69.1,68.0,73.7,69.8,72.1
123,Utah Valley,71.3,71.3,75.5,70.8,71.4,71.2
124,Alabama St,71.2,69.4,74.6,71.8,71.0,72.5
125,Utah,71.2,73.4,72.1,71.3,71.2,73.3
126,Toledo,71.2,74.3,70.4,69.2,72.5,72.4
127,Chicago St,71.2,67.7,62.0,70.2,71.6,68.3
128,Stetson,71.2,70.1,70.4,70.9,71.4,68.3
129,St Thomas,71.2,70.6,74.6,70.4,71.6,65.0
130,Bethune,71.2,70.2,70.8,71.7,70.9,73.1
131,Indiana,71.2,67.8,71.4,71.3,71.0,71.0
132,UT Arlington,71.1,71.0,77.0,70.5,71.5,73.9
133,Iona,71.1,68.3,68.7,71.2,71.0,69.5
134,UMass Lowell,71.1,65.7,63.9,71.0,71.2,74.1
135,San Francisco,71.1,77.0,75.5,71.2,70.9,69.6
136,Auburn,71.0,67.5,74.6,72.8,69.6,72.5
137,Oregon,71.0,71.2,70.2,70.9,71.1,70.6
138,Pepperdine,71.0,67.4,65.3,70.7,71.2,69.9
139,Michigan St,70.9,70.7,69.4,71.6,70.4,68.3
140,W Michigan,70.9,68.3,70.7,72.5,69.6,70.9
141,USC,70.9,73.4,64.3,70.3,71.7,72.7
142,Tenn Tech,70.9,70.6,65.4,71.1,70.7,68.9
143,NC A&T,70.9,63.9,66.5,70.0,71.5,69.8
144,Albany,70.8,69.5,77.2,69.5,71.8,75.9
145,Coppin St,70.8,71.8,75.4,71.8,70.3,69.8
146,Texas,70.8,73.1,68.5,69.8,71.8,70.3
147,Nicholls,70.8,69.9,69.8,69.2,71.9,72.0
148,Denver,70.8,68.5,66.5,68.8,72.0,73.7
149,Army,70.8,73.7,71.5,70.1,71.4,65.3
150,Sam Houston,70.8,69.7,67.9,69.9,71.3,71.1
151,BYU,70.7,67.4,66.6,71.1,70.3,71.9
151,N Colorado,70.7,67.3,71.3,70.5,70.9,73.2
153,Louisville,70.7,70.3,70.9,71.2,70.2,72.0
154,C Michigan,70.7,72.5,83.1,71.6,70.1,69.3
155,E Kentucky,70.7,65.5,61.2,70.3,70.9,72.4
156,Saint Joseph's,70.7,73.9,75.6,71.8,69.5,70.7
157,UTEP,70.7,68.4,64.8,70.6,70.7,72.2
158,Green Bay,70.6,72.9,74.3,71.1,70.3,66.9
159,S Indiana,70.6,69.4,68.6,70.8,70.5,71.5
160,Utah Tech,70.6,70.6,70.9,70.1,70.9,74.1
161,Yale,70.6,67.0,71.3,70.4,70.7,68.3
162,Omaha,70.6,73.6,66.1,70.0,70.9,69.1
163,Georgia,70.5,71.0,73.5,70.7,70.3,72.8
164,SE Missouri St,70.5,71.4,69.7,71.6,69.8,71.3
165,Detroit Mercy,70.5,72.3,74.9,69.6,71.1,69.9
166,Portland St,70.5,74.2,74.3,68.9,71.5,71.5
167,Wisconsin,70.5,69.4,69.6,71.5,69.5,68.0
168,W Georgia,70.5,69.0,68.0,69.2,71.2,--
169,Marquette,70.4,77.7,79.2,71.8,69.0,71.0
170,Chattanooga,70.4,78.2,93.6,67.8,72.5,70.5
171,New Hampshire,70.4,71.2,64.2,69.8,70.8,74.6
172,Tulsa,70.4,67.9,64.4,69.9,70.9,73.8
173,DePaul,70.4,73.3,80.2,71.3,69.2,70.0
174,Manhattan,70.4,71.7,70.3,70.6,70.2,71.3
175,Valparaiso,70.4,65.1,64.2,71.1,69.7,70.2
176,Colorado,70.4,67.7,69.1,71.4,69.2,71.3
177,CS Fullerton,70.4,73.4,67.1,70.1,70.6,68.7
178,Wright St,70.4,67.8,68.4,69.8,70.8,74.7
179,Jacksonville,70.3,66.5,66.2,68.6,71.5,69.4
180,Washington,70.3,70.3,71.8,71.2,69.1,75.2
181,Boston College,70.3,70.0,68.1,69.6,71.2,69.4
182,Texas St,70.3,72.5,71.3,70.3,70.3,70.5
183,E Michigan,70.3,71.1,72.0,71.5,69.4,68.7
184,UT Martin,70.2,61.4,62.3,68.1,71.3,75.5
185,Texas A&M,70.2,73.6,71.3,69.1,71.3,70.0
186,Brown,70.2,69.2,67.0,71.5,69.0,70.3
187,S Illinois,70.2,69.7,59.0,68.9,71.3,67.7
188,SF Austin,70.2,72.0,72.6,71.6,69.0,73.9
189,Oral Roberts,70.2,66.6,62.7,69.7,70.5,70.3
190,E Carolina,70.1,69.9,72.8,70.4,69.8,67.7
191,Ball St,70.1,68.8,74.7,71.5,69.0,70.0
192,UC Davis,70.1,68.5,72.7,69.6,70.5,70.2
193,Florida A&M,70.1,69.6,68.1,69.1,70.6,71.5
194,Little Rock,70.1,68.7,72.4,70.5,69.8,72.1
195,UL Monroe,70.0,68.3,69.6,70.3,69.8,70.2
196,Loyola Chi,69.9,66.7,68.6,70.3,69.6,71.4
197,Saint Louis,69.9,71.0,76.1,70.2,69.7,71.0
198,Pacific,69.9,74.5,76.8,69.2,70.5,70.5
199,Tulane,69.9,70.0,76.5,70.6,69.2,76.2
200,Siena,69.9,69.0,65.1,72.2,68.1,68.8
201,Mt St Mary's,69.9,65.2,66.4,69.8,69.9,71.6
202,E Texas A&M,69.8,68.7,67.1,69.2,70.3,72.1
203,Cal Baptist,69.8,67.3,73.3,70.0,69.6,67.3
204,VMI,69.8,65.1,61.5,70.8,69.3,76.3
205,Georgetown,69.8,68.0,70.6,69.6,70.0,69.6
206,Penn,69.7,73.6,69.5,70.5,69.0,69.1
207,Loyola Mymt,69.7,72.0,77.3,68.7,70.8,67.1
208,Monmouth,69.7,66.1,71.5,69.4,69.9,69.5
209,Wake Forest,69.6,70.9,73.2,70.1,69.2,70.9
210,SIU Edward,69.6,66.5,67.1,69.5,69.7,69.3
211,Kent St,69.6,70.6,70.2,69.2,69.9,70.6
212,Miami,69.6,71.5,71.3,69.5,69.7,71.9
213,G Washington,69.6,66.4,64.8,68.4,70.8,74.2
214,Norfolk St,69.6,68.3,70.4,71.7,68.7,69.0
215,Creighton,69.5,66.5,70.9,69.1,70.0,70.5
216,Austin Peay,69.5,70.5,70.7,68.3,70.2,68.4
217,Kansas St,69.5,66.8,61.5,70.9,68.4,71.9
