TEAM,SEED,G,W,L,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T
Auburn,1,33,28,5,,,,,,,,,,,,,,,
Duke,1,35,31,4,,,,,,,,,,,,,,,
Houston,1,34,30,4,,,,,,,,,,,,,,,
Florida,1,34,30,4,,,,,,,,,,,,,,,
Michigan St,2,33,27,6,,,,,,,,,,,,,,,
Alabama,2,33,25,8,,,,,,,,,,,,,,,
St John's,2,34,30,4,,,,,,,,,,,,,,,
Tennessee,2,33,27,6,,,,,,,,,,,,,,,
Texas Tech,3,33,25,8,,,,,,,,,,,,,,,
Kentucky,3,33,22,11,,,,,,,,,,,,,,,
Iowa St,3,33,24,9,,,,,,,,,,,,,,,
Wisconsin,3,35,26,9,,,,,,,,,,,,,,,
Texas A&M,4,32,22,10,,,,,,,,,,,,,,,
Arizona,4,34,22,12,,,,,,,,,,,,,,,
Maryland,4,33,25,8,,,,,,,,,,,,,,,
Purdue,4,33,22,11,,,,,,,,,,,,,,,
Michigan,5,34,25,9,,,,,,,,,,,,,,,
Oregon,5,33,24,9,,,,,,,,,,,,,,,
Memphis,5,33,28,5,,,,,,,,,,,,,,,
Clemson,5,33,27,6,,,,,,,,,,,,,,,
Mississippi,6,33,22,11,,,,,,,,,,,,,,,
BYU,6,33,24,9,,,,,,,,,,,,,,,
Missouri,6,33,22,11,,,,,,,,,,,,,,,
Illinois,6,33,21,12,,,,,,,,,,,,,,,
UCLA,7,32,22,10,,,,,,,,,,,,,,,
Kansas,7,33,21,12,,,,,,,,,,,,,,,
Marquette,7,33,23,10,,,,,,,,,,,,,,,
Saint Mary's,7,33,28,5,,,,,,,,,,,,,,,
Louisville,8,34,27,7,,,,,,,,,,,,,,,
Mississippi St,8,33,21,12,,,,,,,,,,,,,,,
UConn,8,33,23,10,,,,,,,,,,,,,,,
Gonzaga,8,33,25,8,,,,,,,,,,,,,,,
Georgia,9,32,20,12,,,,,,,,,,,,,,,
Oklahoma,9,33,20,13,,,,,,,,,,,,,,,
Creighton,9,34,24,10,,,,,,,,,,,,,,,
Baylor,9,33,19,14,,,,,,,,,,,,,,,
New Mexico,10,33,26,7,,,,,,,,,,,,,,,
Vanderbilt,10,32,20,12,,,,,,,,,,,,,,,
Utah St,10,33,26,7,,,,,,,,,,,,,,,
Arkansas,10,33,20,13,,,,,,,,,,,,,,,
Drake,11,33,30,3,,,,,,,,,,,,,,,
Texas,11,34,19,15,,,,,,,,,,,,,,,
Xavier,11,32,21,11,,,,,,,,,,,,,,,
North Carolina,11,35,22,13,,,,,,,,,,,,,,,
Colorado St,12,34,25,9,,,,,,,,,,,,,,,
McNeese,12,33,27,6,,,,,,,,,,,,,,,
UCSD,12,34,30,4,,,,,,,,,,,,,,,
Liberty,12,34,28,6,,,,,,,,,,,,,,,
Yale,13,29,22,7,,,,,,,,,,,,,,,
Akron,13,34,28,6,,,,,,,,,,,,,,,
Grand Canyon,13,33,26,7,,,,,,,,,,,,,,,
High Point,13,34,29,5,,,,,,,,,,,,,,,
NC Wilmington,14,34,27,7,,,,,,,,,,,,,,,
Troy,14,33,23,10,,,,,,,,,,,,,,,
Lipscomb,14,34,25,9,,,,,,,,,,,,,,,
Montana,14,34,25,9,,,,,,,,,,,,,,,
Bryant,15,34,23,11,,,,,,,,,,,,,,,
Robert Morris,15,34,26,8,,,,,,,,,,,,,,,
Omaha,15,33,21,12,,,,,,,,,,,,,,,
Wofford,15,34,19,15,,,,,,,,,,,,,,,
Norfolk St,16,34,24,10,,,,,,,,,,,,,,,
SIU Edward,16,33,22,11,,,,,,,,,,,,,,,
St Francis PA,16,33,16,17,,,,,,,,,,,,,,,
Mt St Mary's,16,34,22,12,,,,,,,,,,,,,,,
American,16,34,22,12,,,,,,,,,,,,,,,
Alabama St,16,34,19,15,,,,,,,,,,,,,,,
VCU,11,34,28,6,,,,,,,,,,,,,,,
San Diego St,11,30,21,9,,,,,,,,,,,,,,,
