Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Creighton,0.169,0.128,0.169,0.153,0.185,0.160
2,C Connecticut,0.189,0.257,0.117,0.203,0.177,0.267
3,Butler,0.204,0.061,0.056,0.217,0.192,0.223
4,UC Irvine,0.219,0.19,0.236,0.267,0.195,0.352
5,Portland,0.221,0.162,0.25,0.216,0.226,0.226
6,Tenn Tech,0.222,0.267,0.258,0.193,0.241,0.246
7,App State,0.222,0.186,0.2,0.201,0.238,0.207
8,Lipscomb,0.223,0.245,0.358,0.202,0.246,0.228
9,C Arkansas,0.226,0.191,0.18,0.202,0.243,0.337
10,Dartmouth,0.232,0.232,0.3,0.195,0.259,0.244
11,Fresno St,0.235,0.263,0.313,0.229,0.239,0.280
12,Saint Louis,0.243,0.174,0.368,0.231,0.254,0.353
13,Cincinnati,0.243,0.267,0.185,0.197,0.295,0.291
14,S Alabama,0.244,0.308,0.421,0.224,0.265,0.339
15,St Bonaventure,0.244,0.185,0.147,0.23,0.255,0.339
16,Harvard,0.246,0.253,0.333,0.208,0.274,0.258
17,Elon,0.247,0.429,0.407,0.214,0.27,0.291
18,Saint Mary's,0.25,0.261,0.111,0.248,0.253,0.334
19,UL Monroe,0.251,0.234,0.233,0.252,0.251,0.376
20,UMass Lowell,0.252,0.263,0.255,0.229,0.275,0.269
21,Holy Cross,0.254,0.335,0.356,0.212,0.278,0.306
22,Duke,0.254,0.233,0.156,0.222,0.286,0.281
23,Columbia,0.254,0.257,0.239,0.282,0.227,0.285
24,Colgate,0.255,0.17,0.241,0.233,0.27,0.245
25,Penn,0.258,0.21,0.169,0.277,0.24,0.267
26,Saint Joseph's,0.259,0.201,0.294,0.26,0.257,0.288
27,Manhattan,0.259,0.244,0.233,0.244,0.272,0.273
28,Maryland,0.259,0.277,0.197,0.269,0.246,0.335
29,Georgia St,0.263,0.271,0.329,0.266,0.26,0.359
30,Liberty,0.263,0.365,0.455,0.218,0.292,0.303
31,Toledo,0.265,0.389,0.579,0.243,0.277,0.262
