Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,South Dakota,12.3%,10.9%,12.5%,12.3%,12.3%,17.9%
2,Mississippi,12.4%,14.0%,15.2%,12.7%,12.1%,15.2%
3,N Alabama,12.5%,13.7%,21.5%,11.3%,13.6%,14.2%
4,Alabama St,12.8%,10.6%,13.4%,10.9%,13.6%,15.8%
5,Gonzaga,13.0%,10.5%,16.3%,12.3%,13.4%,13.8%
6,UCSD,13.0%,12.4%,12.0%,12.3%,13.5%,14.0%
7,Auburn,13.1%,16.3%,16.1%,12.8%,13.4%,14.7%
8,Marquette,13.2%,15.0%,21.5%,13.2%,13.1%,14.0%
9,Toledo,13.4%,10.8%,9.9%,13.0%,13.6%,14.8%
10,Merrimack,13.4%,10.9%,3.3%,12.9%,13.8%,18.6%
11,Iowa,13.4%,10.0%,6.7%,13.3%,13.7%,12.9%
12,St Thomas,13.5%,13.2%,10.7%,11.1%,14.7%,14.5%
13,E Kentucky,13.5%,14.2%,11.4%,13.4%,13.6%,15.6%
14,Purdue FW,13.6%,17.7%,16.4%,12.1%,14.6%,14.4%
15,Valparaiso,13.7%,11.3%,12.5%,13.5%,13.8%,15.6%
16,UAB,13.7%,17.2%,18.5%,12.6%,14.8%,16.3%
17,Wisconsin,13.8%,11.5%,15.8%,13.4%,14.2%,14.6%
18,Duke,14.0%,15.2%,15.1%,13.8%,14.3%,14.1%
19,Texas,14.0%,12.3%,14.6%,13.1%,15.1%,16.5%
20,Houston,14.1%,12.0%,10.4%,14.4%,13.7%,13.4%
21,NC State,14.1%,16.3%,12.6%,14.1%,14.1%,13.5%
22,Towson,14.2%,12.7%,15.6%,13.0%,14.8%,18.6%
23,Yale,14.2%,12.4%,18.2%,12.5%,15.0%,14.0%
24,Maryland,14.2%,12.1%,7.9%,14.5%,13.8%,17.1%
25,Lipscomb,14.2%,15.1%,13.1%,12.5%,15.9%,14.0%
26,S Alabama,14.2%,13.6%,15.7%,14.2%,14.3%,16.0%
27,Texas Tech,14.3%,10.2%,9.5%,15.3%,13.1%,16.2%
28,Davidson,14.3%,15.4%,14.1%,13.9%,14.8%,15.9%
29,Austin Peay,14.4%,13.7%,21.2%,14.2%,14.5%,13.0%
30,Vanderbilt,14.4%,16.6%,12.4%,13.4%,15.5%,14.9%
31,Army,14.4%,13.6%,12.6%,13.3%,15.4%,18.5%
32,Pittsburgh,14.4%,16.3%,16.5%,13.4%,15.6%,13.2%
33,NC Asheville,14.5%,17.5%,19.5%,12.7%,15.5%,16.7%
34,Northwestern,14.5%,18.5%,21.0%,13.2%,15.8%,13.1%
35,Arkansas St,14.5%,14.0%,10.5%,13.8%,15.0%,15.6%
36,Ohio,14.6%,13.2%,13.4%,14.1%,14.9%,13.8%
37,N Florida,14.6%,16.8%,19.2%,14.7%,14.6%,16.1%
