Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Houston,0.882,0.792,0.597,0.826,0.934,0.868
2,St John's,0.892,0.844,0.802,0.896,0.888,1.006
3,Duke,0.907,0.993,0.938,0.871,0.942,0.967
4,UCSD,0.915,0.891,1.017,0.902,0.923,1.015
5,VCU,0.923,0.994,1.202,0.863,0.969,0.981
6,Maryland,0.924,0.926,1.065,0.859,1.014,0.959
7,UC Irvine,0.929,1.041,1.009,0.939,0.924,0.958
8,C Connecticut,0.932,0.882,0.702,0.924,0.939,0.986
9,Tennessee,0.935,1.102,1.019,0.877,0.992,0.941
10,Saint Mary's,0.935,0.963,0.869,0.956,0.914,0.911
11,George Mason,0.935,0.973,0.988,0.888,0.99,0.994
12,Grand Canyon,0.935,1.005,1.147,0.904,0.967,0.930
13,New Mexico,0.937,0.918,1.112,0.92,0.952,0.959
14,Iowa St,0.945,1.014,1.378,0.869,1.027,0.888
15,Michigan St,0.948,0.957,1.11,0.917,0.977,0.968
16,Gonzaga,0.949,0.888,0.926,0.909,0.98,0.983
17,San Diego St,0.949,1.082,1.298,0.908,0.985,0.968
18,Liberty,0.953,1.067,1.071,0.907,0.981,1.012
19,McNeese,0.953,0.935,0.996,0.91,0.986,0.950
20,Florida,0.955,1.069,1.096,0.876,1.023,1.045
21,West Virginia,0.957,0.967,1.039,0.887,1.035,1.090
22,Troy,0.961,0.929,1.066,0.996,0.937,0.984
23,Drake,0.962,0.857,0.879,0.957,0.966,0.988
24,UCLA,0.964,0.99,0.767,0.893,1.041,0.996
25,Southern,0.965,0.901,0.836,0.888,0.999,0.991
26,Merrimack,0.965,0.856,0.941,0.942,0.98,0.922
27,Little Rock,0.966,1.106,1.078,0.923,0.993,1.005
28,Utah Valley,0.968,1.043,1.047,0.884,1.005,0.970
29,Clemson,0.968,0.956,1.026,0.952,0.984,1.021
30,Texas A&M,0.968,0.983,0.996,0.918,1.015,1.028
31,Marist,0.969,1.026,0.915,0.963,0.974,0.934
32,Kansas,0.97,1.119,1.067,0.955,0.985,0.984
33,N Texas,0.971,1.023,1.093,0.973,0.968,0.988
34,Cincinnati,0.971,1.009,1.161,0.92,1.024,0.961
