Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Cornell,58.7%,64.2%,66.3%,60.5%,57.2%,56.6%
2,Liberty,58.4%,68.1%,72.0%,56.2%,59.8%,54.3%
3,N Dakota St,58.2%,53.6%,56.8%,56.9%,59.2%,53.3%
4,St Thomas,57.8%,56.2%,48.4%,58.7%,57.3%,54.4%
5,Duke,57.4%,52.1%,54.0%,57.8%,56.9%,54.6%
6,BYU,57.2%,53.2%,56.5%,59.5%,54.7%,54.8%
7,N Colorado,57.0%,54.7%,47.0%,62.1%,54.1%,55.1%
8,Iowa,56.7%,61.5%,62.7%,59.6%,53.3%,52.8%
9,Washington St,56.7%,57.2%,55.2%,59.1%,54.9%,51.8%
10,Chattanooga,56.5%,54.8%,57.2%,58.4%,55.1%,54.8%
11,Bradley,56.5%,49.0%,46.6%,57.0%,56.0%,55.1%
12,Alabama,56.4%,55.4%,50.0%,55.6%,57.0%,56.3%
13,High Point,56.3%,54.2%,52.8%,57.2%,55.6%,52.2%
14,Wright St,56.3%,63.6%,52.7%,59.0%,54.3%,58.5%
15,Saint Louis,56.3%,58.1%,55.2%,58.9%,54.0%,51.5%
16,Purdue,56.1%,47.8%,50.0%,60.7%,51.9%,55.8%
17,Creighton,56.1%,57.5%,67.0%,59.5%,52.9%,57.3%
18,Santa Clara,56.1%,61.1%,73.8%,57.4%,54.8%,52.3%
19,Illinois St,56.0%,46.6%,41.8%,56.9%,55.3%,47.7%
20,Kentucky,56.0%,52.9%,42.0%,59.8%,51.3%,57.2%
21,Gonzaga,56.0%,51.3%,65.0%,58.3%,54.0%,57.0%
22,Montana,56.0%,57.1%,45.2%,56.5%,55.6%,54.7%
23,Lipscomb,55.9%,57.7%,53.2%,57.4%,54.4%,56.2%
24,Colorado St,55.8%,58.3%,54.9%,58.7%,53.0%,54.2%
25,Missouri,55.8%,47.6%,37.8%,59.4%,50.9%,50.2%
26,Auburn,55.7%,50.9%,54.2%,56.6%,54.9%,54.2%
27,UConn,55.5%,57.5%,49.2%,56.0%,55.1%,56.9%
28,Akron,55.4%,59.7%,53.4%,57.8%,53.6%,51.6%
29,Miami OH,55.4%,55.6%,62.3%,57.9%,53.3%,50.9%
30,Utah St,55.3%,42.7%,33.3%,58.6%,52.0%,54.0%
31,UMBC,55.2%,52.3%,50.0%,55.5%,55.0%,52.7%
32,Texas Tech,55.2%,49.7%,48.6%,56.6%,53.7%,52.6%
33,Cal Poly,55.2%,61.0%,56.3%,56.1%,54.7%,46.0%
34,N Iowa,55.2%,47.8%,47.3%,58.6%,51.8%,51.6%
35,UCSD,55.1%,51.5%,44.4%,55.8%,54.5%,52.3%
36,Delaware,55.1%,60.7%,48.3%,56.4%,54.2%,51.9%
37,Florida,55.0%,59.6%,50.0%,56.6%,53.6%,51.8%
38,Oklahoma,54.9%,53.7%,55.6%,58.0%,51.6%,53.1%
39,Villanova,54.9%,48.7%,39.4%,58.4%,51.0%,50.6%
40,Belmont,54.8%,47.7%,47.0%,54.0%,55.6%,55.0%
41,Purdue FW,54.7%,48.0%,43.5%,54.8%,54.7%,53.5%
42,Yale,54.7%,54.4%,53.4%,54.2%,55.0%,52.1%
43,UCSB,54.6%,42.8%,31.7%,58.8%,51.0%,53.3%
44,Oregon St,54.6%,53.3%,50.9%,57.8%,50.7%,49.8%
45,UMass Lowell,54.6%,62.8%,54.8%,57.7%,51.1%,50.4%
46,Indiana St,54.6%,59.6%,58.3%,55.5%,54.0%,59.8%
47,USC,54.6%,52.9%,49.2%,57.4%,50.9%,51.7%
48,Iowa St,54.6%,61.4%,65.9%,56.3%,52.7%,52.0%
49,Samford,54.6%,54.6%,51.9%,54.4%,54.8%,56.8%
50,SMU,54.5%,49.7%,49.2%,54.6%,54.4%,51.0%
51,North Carolina,54.5%,52.1%,64.9%,55.1%,53.9%,51.5%
52,Michigan,54.4%,47.5%,50.0%,57.7%,51.6%,51.2%
53,Xavier,54.3%,59.5%,65.5%,56.2%,52.3%,49.1%
54,Colgate,54.2%,55.3%,50.0%,55.7%,53.1%,53.3%
55,Penn St,54.1%,57.1%,66.4%,55.5%,52.2%,50.3%
56,Drake,54.0%,51.8%,59.8%,54.1%,53.9%,54.7%
57,FGCU,53.9%,55.0%,48.3%,53.1%,54.6%,52.1%
58,Bucknell,53.8%,59.5%,53.7%,54.3%,53.4%,50.4%
59,Wisconsin,53.8%,45.2%,61.6%,54.4%,53.2%,52.2%
60,Maryland,53.8%,49.7%,50.0%,55.7%,51.3%,46.7%
61,Nevada,53.7%,46.7%,40.9%,56.7%,50.6%,53.2%
