TEAM,SEED,G,W,L,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T
,1,33,28,5,118.19999999999999,98.1,55.7,46.0,13.0,17.0,33.3,27.1,33.5,39.2,56.1,47.2,36.8,29.2,70.9
,1,35,31,4,121.10000000000001,90.7,57.4,44.5,14.0,17.3,34.1,23.0,32.1,25.4,58.0,43.4,37.7,30.9,68.3
,1,34,30,4,113.1,89.1,52.7,44.9,14.2,21.0,35.7,25.1,28.199999999999996,34.1,49.0,43.9,39.8,30.9,65.6
,1,34,30,4,117.8,95.5,55.0,45.3,14.7,16.6,36.9,26.3,32.6,33.0,56.4,45.9,35.5,29.6,72.5
,2,33,27,6,110.2,94.8,51.2,46.1,16.3,16.1,33.7,22.6,37.8,33.1,53.6,49.1,30.8,27.9,70.9
,2,33,25,8,115.6,103.3,56.4,47.9,16.2,13.2,32.7,26.7,40.1,33.900000000000006,59.7,48.8,35.0,30.8,78.8
,2,34,30,4,106.89999999999999,89.5,49.7,46.6,15.1,21.2,35.5,26.3,30.2,30.4,51.5,45.8,30.4,31.8,73.6
,2,33,27,6,110.60000000000001,93.2,52.8,44.4,15.5,17.3,33.6,26.0,35.4,29.4,54.1,46.7,34.0,27.8,67.6
,3,33,25,8,117.19999999999999,97.89999999999999,55.5,48.0,14.4,17.0,32.2,26.9,29.7,33.5,54.3,48.2,37.9,31.7,69.0
,3,33,22,11,114.6,104.60000000000001,56.0,50.4,14.9,13.7,27.0,24.5,35.9,31.0,55.9,53.7,37.4,30.8,74.4
,3,33,24,9,111.5,94.5,54.6,48.4,16.5,21.4,30.5,26.1,38.5,28.9,55.1,47.5,35.8,33.2,72.1
,3,35,26,9,113.1,99.9,53.6,47.9,13.8,14.2,24.7,24.9,33.800000000000004,28.1,54.7,46.8,34.9,33.0,70.5
,4,32,22,10,105.80000000000001,96.8,47.5,48.2,17.6,19.1,40.2,25.1,41.699999999999996,35.3,48.0,46.5,31.1,33.4,70.2
,4,34,22,12,112.6,99.8,52.9,48.6,15.8,16.2,34.6,25.7,36.6,29.2,55.1,47.2,32.4,33.6,72.6
,4,33,25,8,112.7,92.4,53.8,47.0,14.2,19.8,28.9,25.3,32.9,25.900000000000002,52.7,47.6,37.2,30.7,72.5
,4,33,22,11,114.99999999999999,104.89999999999999,56.3,52.0,15.3,17.5,29.2,28.9,34.599999999999994,31.0,55.5,56.4,38.5,30.7,67.7
,5,34,25,9,107.2,97.5,54.5,46.3,19.3,15.5,31.2,26.8,35.0,28.499999999999996,57.7,45.9,33.4,31.3,73.0
,5,33,24,9,107.4,99.9,52.2,49.0,15.9,17.2,27.6,28.1,33.4,27.800000000000004,53.0,50.0,34.0,31.6,71.0
,5,33,28,5,108.5,99.2,53.6,48.5,18.7,18.6,33.8,29.8,39.4,33.6,52.0,48.6,38.0,32.2,73.8
,5,33,27,6,112.3,96.6,53.6,48.9,15.4,19.7,31.9,28.1,28.199999999999996,27.6,52.3,49.3,37.2,32.2,68.0
,6,33,22,11,107.60000000000001,100.0,51.1,50.5,12.4,20.0,22.8,28.2,35.6,39.4,51.0,51.6,34.1,32.7,71.7
,6,33,24,9,114.3,100.0,57.2,50.6,17.1,16.8,31.6,23.7,30.2,29.5,58.6,49.3,37.1,34.8,70.9
,6,33,22,11,117.8,103.0,56.2,50.7,14.9,19.6,32.6,30.6,46.800000000000004,35.3,56.7,51.1,37.0,33.4,71.7
,6,33,21,12,112.5,100.1,52.3,47.3,15.5,12.4,35.3,23.6,34.599999999999994,26.8,57.3,46.1,31.1,33.3,74.5
,7,32,22,10,110.3,97.0,53.0,50.5,15.6,22.4,32.1,27.6,32.9,34.599999999999994,53.1,51.2,35.2,33.2,67.7
,7,33,21,12,106.4,96.7,53.1,46.2,16.3,15.3,28.0,25.4,24.3,28.000000000000004,53.4,46.1,35.2,30.9,71.6
,7,33,23,10,109.2,97.3,52.1,49.9,13.2,21.0,28.1,28.3,26.1,30.2,55.0,51.3,32.5,31.8,70.4
,7,33,28,5,111.80000000000001,93.5,50.9,46.2,14.8,16.2,39.2,22.3,31.4,25.0,51.8,45.8,32.7,31.2,65.6
,8,34,27,7,111.20000000000002,97.5,53.4,49.2,16.2,18.2,31.0,25.2,34.5,26.8,57.0,48.3,33.0,33.7,70.7
,8,33,21,12,110.60000000000001,102.8,51.7,51.9,14.7,18.6,32.3,26.9,31.6,35.4,55.2,50.1,31.4,36.1,72.1
,8,33,23,10,114.99999999999999,101.1,55.5,48.3,16.7,15.1,34.6,23.3,30.599999999999998,40.0,57.3,46.0,35.4,35.1,67.3
,8,33,25,8,118.10000000000001,95.0,55.7,47.6,12.9,17.7,30.4,23.0,30.9,28.599999999999998,57.8,49.1,34.4,30.2,73.3
,9,32,20,12,107.3,98.4,52.5,47.2,18.4,17.5,34.1,29.5,39.800000000000004,30.4,53.8,47.8,33.5,30.9,70.4
,9,33,20,13,110.5,104.89999999999999,54.9,51.1,16.9,17.8,25.1,30.1,39.6,35.8,54.6,54.9,37.0,30.5,71.4
,9,34,24,10,108.2,100.0,55.8,47.0,17.7,11.5,25.4,25.2,28.499999999999996,16.900000000000002,60.5,45.8,33.9,32.7,69.5
,9,33,19,14,110.7,102.1,51.5,51.2,15.8,18.4,33.5,29.6,31.0,33.5,51.2,49.8,34.7,35.4,68.2
,10,33,26,7,105.89999999999999,93.7,50.8,49.2,15.1,19.9,28.9,22.5,37.8,35.0,50.6,48.2,34.1,33.8,75.5
,10,32,20,12,110.4,103.69999999999999,51.7,52.9,14.4,19.5,29.7,27.7,34.0,39.0,53.6,51.5,32.5,36.9,72.1
,10,33,26,7,115.19999999999999,101.8,56.0,51.8,15.5,19.7,32.1,27.3,37.6,36.199999999999996,57.7,52.6,35.8,33.8,69.2
,10,33,20,13,106.0,98.4,52.7,48.3,16.1,17.1,25.0,26.5,35.5,29.4,54.4,48.5,33.3,31.9,72.3
,11,33,30,3,111.00000000000001,96.5,53.8,51.7,18.2,21.6,35.9,23.0,43.0,35.8,54.6,54.3,35.0,31.8,61.9
,11,34,19,15,110.7,101.89999999999999,52.5,48.4,14.0,16.2,28.7,27.6,36.6,39.300000000000004,51.8,47.5,36.0,33.3,70.9
,11,32,21,11,109.1,99.1,53.9,50.6,15.7,17.2,21.6,23.4,37.2,28.1,51.3,50.5,38.8,33.9,71.5
,11,35,22,13,111.3,102.49999999999999,54.5,49.5,14.8,14.8,25.8,24.8,35.0,30.2,54.7,49.2,36.0,33.3,73.0
,12,34,25,9,110.1,98.1,55.8,48.5,17.0,16.4,24.7,23.8,31.8,33.6,56.5,47.7,36.6,33.1,68.4
,12,33,27,6,111.80000000000001,95.19999999999999,53.3,47.5,15.9,21.1,33.8,29.3,35.699999999999996,31.4,53.2,46.9,35.6,32.2,67.4
,12,34,30,4,113.1,91.2,55.4,47.7,13.1,22.7,22.8,24.8,33.800000000000004,29.799999999999997,56.1,46.2,36.5,33.1,68.9
,12,34,28,6,109.4,95.3,58.4,46.0,15.0,16.6,17.6,25.8,30.9,26.3,57.7,48.0,39.5,28.0,68.0
,13,29,22,7,114.8,100.0,54.8,48.8,14.0,15.7,30.6,23.3,32.0,28.7,53.4,47.3,38.5,33.7,70.5
,13,34,28,6,112.6,101.69999999999999,55.4,49.5,16.2,16.7,31.6,26.2,26.8,33.7,55.8,50.6,36.6,31.9,74.6
,13,33,26,7,105.4,93.5,51.3,47.0,18.0,20.1,30.5,26.4,44.0,32.2,53.2,46.4,31.6,32.1,74.5
,13,34,29,5,118.39999999999999,102.2,56.4,49.1,15.0,16.1,32.6,27.4,37.6,36.3,57.4,48.9,36.6,32.9,69.0
,14,34,27,7,112.00000000000001,102.0,52.2,50.9,15.6,17.0,34.6,25.4,37.8,30.3,53.8,50.4,33.0,34.4,68.6
,14,33,23,10,105.5,96.1,50.1,47.2,19.4,19.3,37.7,29.8,37.8,29.299999999999997,53.9,46.2,30.3,32.6,68.7
,14,34,25,9,112.99999999999999,98.6,55.9,48.7,14.2,15.6,21.8,25.1,31.4,22.3,56.7,49.9,36.7,31.1,68.7
