Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Duke,1.222,1.316,1.14,1.26,1.192,1.147
2,Florida,1.184,1.178,1.175,1.21,1.165,1.128
3,Gonzaga,1.182,1.083,1.155,1.241,1.137,1.179
4,High Point,1.179,1.131,1.019,1.184,1.175,1.166
5,N Dakota St,1.172,1.109,1.115,1.165,1.177,1.043
6,Auburn,1.171,1.069,1.029,1.199,1.151,1.146
7,Missouri,1.17,1.027,0.879,1.217,1.102,1.025
8,Texas Tech,1.169,1.151,1.105,1.192,1.146,1.094
9,Alabama,1.155,1.136,0.872,1.156,1.154,1.182
10,St Thomas,1.146,1.133,1.005,1.215,1.109,1.083
11,Purdue,1.146,1.106,0.992,1.24,1.069,1.174
12,BYU,1.146,1.177,1.104,1.208,1.09,1.133
13,UConn,1.145,1.064,1.123,1.193,1.104,1.199
14,Yale,1.143,1.094,0.996,1.179,1.124,1.071
15,Utah St,1.142,0.979,0.767,1.225,1.059,1.097
16,Kentucky,1.141,1.084,1.026,1.219,1.063,1.160
17,Wisconsin,1.135,1.067,1.208,1.161,1.113,1.098
18,Arizona,1.134,1.216,1.294,1.202,1.082,1.142
19,Santa Clara,1.134,1.209,1.105,1.151,1.116,1.064
20,Cornell,1.133,1.217,1.221,1.154,1.116,1.101
21,Iowa,1.132,1.209,1.262,1.188,1.066,1.119
22,Houston,1.132,1.14,1.156,1.186,1.09,1.108
23,Oregon St,1.132,1.108,1.099,1.176,1.079,0.987
24,Chattanooga,1.13,1.175,1.063,1.2,1.078,1.089
25,UCSD,1.126,1.035,0.973,1.158,1.105,1.085
26,Villanova,1.126,1.037,0.933,1.193,1.054,1.042
27,UAB,1.125,1.002,0.941,1.153,1.099,1.074
28,Maryland,1.124,1.087,0.984,1.158,1.084,1.005
29,Illinois,1.123,1.013,1.01,1.142,1.106,1.154
30,N Colorado,1.123,1.125,1.009,1.202,1.076,1.079
31,Lipscomb,1.12,1.025,0.794,1.18,1.064,1.122
32,N Alabama,1.119,1.001,0.887,1.209,1.043,1.048
33,Clemson,1.119,0.946,0.996,1.163,1.074,1.110
34,SMU,1.118,0.975,1.105,1.134,1.098,1.084
35,Iowa St,1.118,1.214,1.136,1.148,1.088,1.087
36,Akron,1.117,1.147,0.86,1.194,1.063,1.051
37,NC Wilmington,1.115,1.046,0.979,1.157,1.078,1.110
38,VCU,1.115,1.009,1.066,1.177,1.067,1.044
39,Louisville,1.11,1.01,1.058,1.096,1.124,1.001
40,Illinois St,1.11,1.163,1.235,1.149,1.081,0.995
41,McNeese,1.109,0.964,0.904,1.131,1.093,1.145
42,Texas,1.109,1.122,1.168,1.178,1.037,1.073
43,Saint Mary's,1.107,0.882,0.907,1.145,1.073,1.106
44,Baylor,1.107,1.133,1.067,1.164,1.06,1.148
44,North Carolina,1.107,1.073,0.892,1.152,1.075,1.119
46,S Dakota St,1.107,0.957,0.926,1.198,1.048,1.077
47,Mississippi St,1.106,1.084,1.098,1.157,1.065,1.050
48,Drake,1.106,1.066,1.04,1.111,1.102,1.118
49,Bradley,1.105,1.049,1.031,1.12,1.092,1.076
50,Tennessee,1.105,1.042,0.838,1.155,1.061,1.101
51,Samford,1.103,1.128,0.988,1.123,1.087,1.116
52,Boise St,1.103,1.004,0.898,1.185,1.04,1.078
53,Colorado St,1.101,1.111,1.089,1.165,1.049,1.089
54,Michigan St,1.1,1.044,0.94,1.144,1.066,1.068
55,UCLA,1.1,1.038,0.904,1.184,1.014,0.991
56,Vanderbilt,1.099,0.968,0.933,1.156,1.038,0.975
57,Oklahoma,1.099,1.054,0.885,1.17,1.028,1.075
58,Pittsburgh,1.098,1.035,0.812,1.199,0.983,1.105
59,Wofford,1.098,1.259,1.019,1.089,1.102,1.052
60,Dayton,1.098,1.05,1.07,1.105,1.091,1.116
61,Ohio St,1.098,1.112,1.043,1.157,1.028,1.084
62,Belmont,1.097,0.932,0.828,1.096,1.098,1.056
63,South Dakota,1.096,1.059,0.936,1.142,1.061,1.029
64,Purdue FW,1.096,0.897,0.847,1.12,1.079,1.062
65,Toledo,1.094,1.239,1.278,1.117,1.08,1.105
66,Xavier,1.093,1.15,1.003,1.138,1.049,1.032
67,Omaha,1.091,1.078,0.802,1.137,1.069,1.047
68,Penn St,1.089,1.045,1.146,1.143,1.023,1.036
69,Marquette,1.088,0.988,0.959,1.12,1.054,1.099
70,Arkansas St,1.087,1.145,0.989,1.121,1.063,1.096
71,Wright St,1.087,1.199,0.907,1.147,1.044,1.154
72,NC Asheville,1.086,1.09,0.933,1.145,1.053,1.058
73,Creighton,1.086,1.072,1.021,1.151,1.028,1.141
74,Montana,1.085,1.166,0.948,1.111,1.067,1.103
75,N Iowa,1.084,0.912,0.859,1.168,1.0,1.049
76,USC,1.084,1.049,1.104,1.137,1.014,1.019
77,Radford,1.084,1.181,1.23,1.176,1.032,1.045
78,Memphis,1.084,1.042,1.019,1.096,1.075,1.082
