Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,VCU,44.4%,38.0%,42.0%,43.2%,45.4%,46.8%
2,Tennessee,44.4%,49.1%,50.0%,44.0%,44.9%,45.3%
3,Duke,44.5%,48.9%,44.5%,42.5%,46.5%,48.5%
4,Houston,44.9%,43.1%,48.2%,44.1%,45.7%,44.0%
5,George Mason,45.0%,45.7%,48.9%,43.2%,46.9%,48.0%
6,Florida,45.3%,49.7%,53.1%,41.5%,48.6%,49.2%
7,Hofstra,45.9%,39.7%,48.1%,47.6%,45.0%,49.0%
8,San Diego St,45.9%,51.9%,64.9%,45.9%,46.0%,47.3%
9,Liberty,46.0%,48.8%,49.1%,44.5%,46.9%,50.8%
10,Arkansas St,46.0%,50.0%,55.2%,44.6%,47.1%,50.5%
11,Auburn,46.0%,49.7%,47.9%,42.9%,48.6%,43.7%
12,App State,46.1%,49.4%,46.4%,47.4%,45.1%,45.3%
13,Michigan St,46.1%,47.2%,50.9%,45.9%,46.3%,48.1%
14,Saint Mary's,46.2%,45.2%,42.1%,47.5%,44.8%,45.1%
15,Kansas,46.2%,56.4%,60.3%,45.1%,47.4%,48.3%
16,UC Irvine,46.2%,60.6%,60.0%,45.0%,46.8%,46.4%
17,Michigan,46.3%,38.4%,27.2%,46.7%,46.0%,52.5%
18,West Virginia,46.3%,47.5%,50.0%,43.8%,49.3%,52.1%
19,St John's,46.6%,45.1%,48.3%,46.9%,46.1%,49.5%
20,Little Rock,46.7%,56.1%,58.0%,46.2%,47.0%,48.1%
21,N Texas,46.8%,47.5%,46.4%,46.7%,46.9%,48.0%
22,New Mexico St,46.9%,51.3%,55.9%,45.2%,48.0%,50.9%
23,Marist,46.9%,51.9%,44.4%,47.5%,46.3%,47.1%
24,Merrimack,46.9%,42.5%,46.7%,49.1%,45.6%,46.2%
25,Creighton,47.0%,53.8%,57.7%,44.5%,49.5%,46.3%
26,Grand Canyon,47.0%,52.3%,54.3%,46.9%,47.1%,45.8%
27,Maryland,47.0%,44.8%,52.3%,44.2%,50.7%,46.7%
28,Saint Joseph's,47.1%,50.3%,59.8%,45.3%,48.9%,49.0%
29,Georgia,47.2%,50.6%,59.3%,46.3%,48.3%,49.8%
30,Wake Forest,47.2%,44.8%,41.1%,46.6%,47.8%,49.1%
31,Troy,47.2%,40.8%,49.2%,49.6%,45.6%,49.8%
32,Illinois,47.3%,55.9%,50.0%,44.3%,50.3%,48.0%
33,Saint Peter's,47.3%,43.4%,44.3%,47.6%,47.1%,47.1%
34,Utah Valley,47.4%,44.1%,57.4%,43.3%,49.2%,48.0%
35,W Kentucky,47.4%,50.0%,35.1%,46.8%,48.1%,48.6%
36,Texas So,47.4%,45.6%,52.3%,44.5%,48.9%,48.3%
37,SIU Edward,47.5%,41.3%,30.8%,46.6%,48.2%,51.1%
38,McNeese,47.5%,41.0%,34.6%,45.9%,48.8%,48.3%
39,Gonzaga,47.6%,47.5%,38.5%,46.3%,48.6%,47.3%
40,SE Missouri St,47.6%,43.9%,47.2%,47.5%,47.6%,52.0%
41,Lamar,47.6%,41.1%,44.8%,47.0%,47.9%,49.2%
42,C Connecticut,47.7%,43.9%,35.8%,47.2%,48.1%,49.7%
43,UCSD,47.7%,38.7%,42.1%,47.5%,47.8%,50.4%
44,Bryant,47.7%,47.0%,39.5%,46.0%,48.8%,45.4%
45,NC Greensboro,47.8%,53.4%,44.5%,49.5%,46.7%,49.5%
46,Rice,47.8%,47.6%,43.2%,48.2%,47.5%,52.6%
47,Louisiana Tech,47.8%,41.9%,45.4%,45.8%,49.2%,45.6%
48,SMU,47.8%,45.5%,42.6%,47.6%,48.1%,47.2%
49,Drexel,47.8%,52.3%,56.0%,46.1%,49.1%,47.8%
50,Alabama,47.9%,53.0%,59.7%,44.6%,50.7%,49.6%
51,Wisconsin,47.9%,41.7%,39.8%,48.1%,47.7%,52.0%
52,Bradley,47.9%,44.8%,52.2%,46.8%,48.8%,47.6%
53,Texas Tech,48.0%,48.8%,57.4%,47.1%,49.1%,49.2%
54,Mt St Mary's,48.0%,36.8%,35.3%,47.6%,48.3%,49.3%
55,LIU,48.0%,47.3%,56.4%,45.2%,50.0%,50.8%
56,Elon,48.1%,57.7%,61.0%,45.6%,49.8%,53.2%
57,Nicholls,48.1%,44.3%,38.5%,48.7%,47.8%,49.8%
58,Kent St,48.1%,46.4%,41.0%,52.4%,45.3%,51.3%
59,Texas A&M,48.2%,48.5%,49.3%,45.2%,51.0%,50.5%
60,UConn,48.3%,45.6%,58.0%,46.0%,50.4%,44.4%
61,Arkansas,48.3%,50.5%,53.1%,46.1%,50.6%,50.4%
62,LSU,48.3%,57.1%,63.4%,44.8%,53.0%,49.7%
63,Kennesaw St,48.3%,51.6%,63.6%,47.5%,48.9%,53.0%
64,Tulane,48.4%,45.3%,42.3%,46.3%,50.3%,51.1%
65,Texas,48.4%,46.7%,54.6%,48.0%,48.7%,48.1%
66,G Washington,48.4%,53.5%,63.2%,47.4%,49.4%,49.8%
67,Iowa St,48.4%,49.4%,67.2%,45.0%,52.2%,47.4%
68,Colorado St,48.5%,43.1%,46.9%,47.4%,49.4%,48.5%
69,Memphis,48.5%,47.3%,39.9%,49.2%,47.9%,50.0%
70,S Alabama,48.5%,52.2%,50.9%,46.7%,50.5%,50.7%
71,Florida St,48.5%,47.9%,45.8%,49.3%,47.8%,52.2%
72,Loyola Mymt,48.5%,51.7%,61.9%,47.5%,49.6%,50.4%
73,Arizona,48.6%,51.1%,50.0%,47.7%,49.4%,48.4%
74,Ohio St,48.6%,55.7%,64.2%,46.6%,50.9%,48.6%
75,Cincinnati,48.6%,55.5%,63.0%,45.4%,52.3%,47.7%
76,Coastal Car,48.6%,40.6%,41.9%,47.5%,49.4%,50.1%
77,Lipscomb,48.7%,43.4%,37.3%,48.2%,49.2%,53.5%
78,Utah,48.7%,56.7%,64.2%,46.7%,51.5%,48.8%
79,San Francisco,48.7%,56.4%,47.6%,45.0%,52.0%,49.5%
80,Bethune,48.8%,48.8%,54.2%,48.0%,49.1%,50.1%
81,Montana St,48.8%,43.6%,54.6%,46.9%,50.0%,52.3%
82,Vermont,48.8%,44.8%,42.1%,47.3%,50.0%,46.8%
83,Youngstown St,48.8%,49.7%,55.6%,49.0%,48.7%,49.0%
84,Tennessee St,48.8%,46.4%,51.7%,47.3%,49.9%,48.8%
85,Yale,48.8%,51.2%,66.3%,45.3%,50.7%,50.4%
86,Middle Tenn,48.9%,51.5%,57.2%,48.5%,49.2%,49.5%
87,Clemson,48.9%,46.5%,49.1%,49.8%,47.9%,48.2%
88,UCSB,48.9%,48.5%,51.0%,48.4%,49.4%,50.6%
89,Loyola Chi,49.0%,41.3%,49.0%,46.7%,51.1%,46.4%
90,Kansas St,49.0%,49.7%,51.6%,49.1%,48.9%,46.8%
91,Oregon,49.0%,45.1%,52.8%,48.4%,49.7%,51.5%
92,High Point,49.1%,51.8%,47.7%,47.4%,50.5%,50.0%
93,Dartmouth,49.1%,47.9%,61.7%,46.0%,51.4%,54.1%
94,Louisville,49.2%,50.3%,54.0%,48.6%,49.8%,54.6%
95,Saint Louis,49.2%,56.6%,64.9%,47.2%,50.9%,54.3%
96,New Mexico,49.2%,47.3%,51.0%,49.4%,49.0%,48.1%
97,Southern,49.2%,45.4%,38.1%,44.6%,51.3%,50.4%
98,Furman,49.2%,57.2%,68.8%,45.5%,51.9%,52.9%
99,SF Austin,49.2%,60.5%,60.8%,48.0%,50.4%,49.6%
100,Georgia Tech,49.3%,52.5%,64.2%,49.0%,49.7%,49.2%
101,Brown,49.3%,48.8%,50.9%,46.5%,52.1%,51.2%
102,Jacksonville St,49.3%,57.0%,46.0%,47.5%,50.2%,50.5%
103,Marshall,49.3%,45.9%,41.7%,48.9%,49.6%,51.4%
104,Rhode Island,49.3%,50.3%,54.2%,46.6%,52.4%,52.6%
105,UNLV,49.3%,51.5%,53.7%,47.3%,52.1%,50.0%
106,Grambling,49.3%,39.7%,41.4%,47.9%,50.0%,49.7%
107,Georgetown,49.4%,58.7%,60.2%,47.9%,51.4%,55.7%
108,Butler,49.4%,52.6%,52.1%,49.7%,49.2%,50.0%
109,Hawai'i,49.5%,49.5%,58.1%,46.8%,53.6%,48.5%
110,North Carolina,49.5%,44.9%,46.6%,48.7%,50.0%,46.7%
111,Quinnipiac,49.5%,51.4%,54.2%,48.2%,50.3%,48.9%
112,Providence,49.5%,56.0%,54.8%,46.5%,52.5%,47.5%
113,Santa Clara,49.5%,53.5%,57.4%,47.1%,51.7%,48.4%
114,Akron,49.5%,53.7%,62.3%,49.0%,49.9%,49.0%
115,Colorado,49.5%,48.5%,57.1%,45.8%,54.1%,49.7%
116,Boise St,49.6%,48.1%,54.9%,46.5%,51.7%,49.8%
117,Tenn Tech,49.6%,51.6%,48.4%,48.6%,50.3%,52.5%
118,Florida Atlantic,49.6%,42.0%,53.7%,51.6%,48.6%,49.6%
119,Tulsa,49.7%,46.0%,54.7%,50.6%,48.8%,49.7%
120,S Florida,49.7%,53.5%,49.2%,46.9%,52.1%,47.9%
121,Binghamton,49.7%,55.1%,44.9%,46.2%,51.6%,50.0%
122,Norfolk St,49.7%,44.7%,45.2%,50.0%,49.6%,49.5%
123,UMass,49.8%,50.6%,49.0%,49.5%,50.1%,48.5%
124,Indiana,49.8%,48.5%,56.6%,47.1%,53.3%,49.0%
125,NW State,49.8%,53.1%,65.0%,48.1%,51.0%,51.9%
126,Marquette,49.9%,51.3%,45.5%,48.1%,51.8%,49.8%
127,Texas St,49.9%,44.7%,41.7%,48.4%,50.9%,49.7%
127,S Utah,49.9%,49.7%,51.7%,48.6%,50.8%,52.6%
129,CS Northridge,49.9%,51.1%,48.4%,48.0%,51.0%,48.3%
130,Northwestern,49.9%,47.5%,49.1%,49.1%,50.8%,51.5%
131,Texas A&M-CC,49.9%,44.2%,50.0%,46.3%,52.8%,48.0%
132,Wichita St,50.0%,46.3%,50.7%,48.5%,51.4%,48.5%
133,UC Davis,50.0%,60.9%,64.3%,48.9%,50.7%,49.1%
133,NJIT,50.0%,53.0%,39.8%,46.7%,52.3%,52.4%
133,Portland St,50.0%,47.4%,58.8%,43.0%,54.5%,52.0%
136,St Bonaventure,50.0%,52.5%,58.8%,48.9%,50.9%,51.2%
137,Georgia So,50.1%,52.6%,57.1%,50.6%,49.7%,52.0%
138,S Carolina St,50.1%,48.0%,44.8%,50.3%,50.0%,52.2%
139,Minnesota,50.1%,48.9%,53.6%,50.5%,49.5%,50.4%
140,Charleston,50.1%,47.4%,46.7%,50.7%,49.7%,51.2%
141,Cal Baptist,50.1%,46.7%,51.9%,50.7%,49.5%,49.2%
142,Duquesne,50.2%,54.6%,45.1%,49.5%,50.8%,48.5%
143,Evansville,50.2%,48.5%,60.0%,50.6%,49.8%,52.4%
144,Southern Miss,50.2%,45.5%,56.6%,47.3%,52.5%,50.5%
145,Northeastern,50.3%,50.0%,48.2%,49.7%,50.7%,53.8%
146,E Tennessee St,50.3%,50.3%,56.4%,48.7%,51.7%,50.9%
147,Morehead St,50.3%,41.9%,36.3%,50.7%,50.1%,46.4%
148,Bucknell,50.3%,50.6%,48.0%,46.5%,53.7%,49.5%
149,Robert Morris,50.3%,52.6%,51.6%,47.9%,53.0%,53.3%
150,Lafayette,50.4%,56.0%,55.6%,47.5%,52.9%,48.5%
151,Wagner,50.4%,47.9%,52.0%,51.5%,49.7%,48.8%
152,Maine,50.4%,46.4%,54.0%,49.5%,50.8%,49.9%
153,UT Arlington,50.4%,50.0%,57.7%,47.2%,52.5%,49.0%
154,Dayton,50.4%,45.2%,42.1%,49.2%,52.0%,48.3%
155,Kentucky,50.4%,55.5%,58.5%,48.3%,52.8%,49.6%
156,Mississippi,50.5%,55.0%,51.0%,48.9%,52.0%,50.2%
157,Manhattan,50.5%,45.7%,55.0%,50.6%,50.5%,53.1%
158,F Dickinson,50.5%,50.0%,58.0%,49.4%,51.2%,52.9%
159,N Alabama,50.5%,46.6%,53.2%,49.2%,51.8%,51.5%
160,FGCU,50.5%,50.9%,51.0%,48.3%,52.6%,52.8%
161,Arizona St,50.5%,59.9%,57.4%,49.8%,51.1%,51.7%
162,UCLA,50.5%,57.5%,68.1%,46.9%,54.5%,50.1%
163,Alabama St,50.6%,47.1%,60.4%,49.9%,50.8%,49.1%
164,Temple,50.6%,49.1%,50.9%,49.6%,51.3%,50.4%
165,BYU,50.6%,53.1%,50.9%,46.9%,54.7%,48.2%
166,Xavier,50.6%,59.1%,59.1%,48.8%,52.6%,49.6%
167,Jackson St,50.6%,38.0%,40.8%,45.8%,52.4%,52.6%
168,Cleveland St,50.6%,46.2%,44.0%,48.5%,52.7%,51.4%
169,Stanford,50.6%,54.4%,58.2%,48.1%,53.5%,51.9%
170,Missouri,50.7%,55.4%,70.0%,48.1%,54.8%,51.3%
171,Monmouth,50.7%,48.5%,50.0%,47.2%,52.4%,50.0%
172,Lehigh,50.7%,47.3%,56.9%,47.0%,53.2%,51.7%
173,Jacksonville,50.7%,50.6%,55.9%,46.9%,53.3%,52.3%
174,Lindenwood,50.7%,49.2%,52.6%,47.9%,52.4%,53.9%
175,Mercer,50.8%,48.9%,54.4%,49.2%,51.7%,51.2%
176,Towson,50.8%,59.9%,64.3%,51.0%,50.7%,48.3%
177,Virginia,50.8%,51.2%,47.1%,48.5%,53.4%,46.6%
178,Nebraska,50.9%,60.1%,57.9%,47.6%,54.5%,46.7%
179,Stonehill,50.9%,55.2%,58.5%,52.7%,49.7%,52.7%
180,TCU,50.9%,50.9%,50.0%,47.9%,54.1%,50.7%
181,S Dakota St,50.9%,53.1%,56.8%,47.1%,53.2%,51.3%
182,NC Wilmington,50.9%,45.9%,48.3%,50.3%,51.5%,51.7%
183,J Madison,50.9%,53.0%,56.6%,46.5%,54.2%,47.2%
184,NC State,51.0%,50.8%,51.6%,48.0%,54.9%,49.5%
185,Wyoming,51.0%,50.0%,52.2%,47.4%,54.1%,52.8%
186,E Illinois,51.0%,45.5%,45.2%,48.4%,52.6%,52.0%
187,Radford,51.0%,50.9%,60.6%,48.1%,52.6%,50.9%
188,Oregon St,51.1%,53.7%,60.0%,48.2%,54.5%,51.3%
189,Pittsburgh,51.1%,47.2%,43.4%,47.9%,54.8%,49.0%
190,Georgia St,51.1%,47.5%,41.1%,49.6%,52.1%,49.3%
191,W Illinois,51.1%,48.0%,46.3%,49.4%,52.3%,46.5%
192,Oklahoma,51.1%,52.2%,58.3%,51.2%,50.9%,47.5%
193,Villanova,51.1%,56.7%,66.7%,49.7%,52.7%,48.3%
194,W Carolina,51.1%,47.9%,39.7%,51.4%,50.9%,47.2%
195,UCF,51.1%,48.6%,52.6%,49.7%,52.7%,47.9%
196,Baylor,51.2%,47.4%,50.8%,48.0%,53.8%,51.4%
197,Old Dominion,51.2%,43.1%,47.5%,52.6%,50.2%,51.3%
198,St Francis PA,51.2%,43.9%,49.3%,49.8%,51.9%,53.0%
199,Murray St,51.2%,46.5%,55.2%,49.9%,51.9%,54.5%
200,Seattle,51.2%,46.8%,54.3%,50.9%,51.4%,46.3%
201,Detroit Mercy,51.2%,55.3%,62.1%,48.7%,52.9%,55.9%
202,Kansas City,51.2%,46.6%,50.9%,50.9%,51.4%,51.1%
203,Washington St,51.3%,47.9%,47.9%,53.6%,49.5%,47.2%
204,Miami OH,51.3%,48.4%,53.4%,50.9%,51.7%,49.3%
205,Nevada,51.3%,54.7%,51.0%,49.4%,53.5%,48.3%
206,Louisiana,51.3%,50.3%,50.9%,50.6%,52.0%,49.9%
207,N Dakota St,51.4%,51.8%,46.4%,50.9%,51.7%,53.7%
208,SE Louisiana,51.4%,53.7%,46.1%,53.9%,50.1%,51.3%
209,UT Rio Grande,51.4%,51.0%,45.8%,49.5%,52.9%,53.1%
210,Chattanooga,51.4%,52.8%,54.5%,52.9%,50.1%,49.9%
211,Notre Dame,51.4%,50.3%,59.5%,50.9%,51.8%,48.2%
212,DePaul,51.4%,48.2%,50.0%,48.7%,55.0%,56.5%
213,Florida A&M,51.4%,55.6%,69.4%,47.8%,53.3%,51.8%
214,Winthrop,51.4%,45.4%,50.7%,51.1%,51.6%,49.5%
215,UC Riverside,51.4%,48.7%,62.3%,48.2%,53.8%,52.3%
216,Oakland,51.4%,50.3%,51.6%,50.3%,52.1%,50.6%
217,South Carolina,51.5%,54.5%,50.9%,47.8%,56.3%,48.4%
218,NC A&T,51.5%,52.4%,53.2%,49.4%,53.0%,54.5%
219,Abl Christian,51.5%,50.0%,50.0%,46.8%,54.9%,51.7%
220,N Iowa,51.5%,50.3%,50.0%,50.1%,53.1%,52.2%
221,Milwaukee,51.5%,55.0%,58.3%,52.1%,51.1%,50.6%
