TEAM,Linear,RF,EN,XGB,mean,XGBRF,ranking,color
Duke,4.4347237414203065,4.04,3.939175284999447,3.689093,4.025748006604938,3.918280335534979,1,#012169
Florida,2.449737783458481,1.94,3.446212857128712,2.2993982,2.5338372101467983,2.257745136715599,2,#FA4616
Houston,2.0141097125470253,1.61,3.2849275907730577,1.993119,2.225539075830021,1.9428860252766738,3,#C8102E
St John's,1.731572201391355,1.84,2.8414524163522143,1.5024768,1.9788753544358924,1.773784051478631,4,#C8102E
UCSD,2.5772624690521724,1.49,2.588776222799165,0.96250606,1.9046361879628344,1.4523807493209449,5,#182B49
Drake,2.7060220462474014,1.16,2.406762499148439,1.0241457,1.82423256134896,1.3361260871163203,6,#0057B7
Michigan St,1.2605857507655287,1.92,2.440467372394679,1.5571214,1.7945436307900517,1.7572216769300173,7,#18453B
Auburn,0.5651675782028462,2.17,3.037151151828408,1.2280844,1.7501007825078134,1.7160617275026044,8,#F26522
VCU,2.5592960636955944,0.84,2.2472800832851623,1.3355876,1.745540936745189,1.3070428455817298,9,#F7E400
Alabama,-1.0631791306567102,2.19,2.285456083883134,3.0015693,1.603461563306606,2.2650102877688685,10,#9E1B32
Clemson,2.466049814975861,0.97,2.3538970310073783,0.6214393,1.60284653649581,1.0647619454986035,11,#F56600
High Point,2.816347811598419,0.93,2.4648908851863824,0.10784601,1.5797711766962006,0.8725390622320669,12,#582C83
Tennessee,0.3002768662193062,1.6,2.4915252322141264,1.6334075,1.506302399608358,1.5799032998694527,13,#FF8200
Creighton,-1.1803410859186163,2.49,1.3806456224683743,3.3115792,1.5004709341374396,2.434016711379147,14,#006AB6
Maryland,0.4966656145374557,1.32,2.2027878079996883,1.3238863,1.335834930634286,1.3265737435447622,15,#E03A3E
Gonzaga,1.5731362733559244,1.13,2.280391054609636,-0.15061769,1.2082274094913903,0.7292032398304634,16,#041E42
Texas Tech,0.6287139286890593,0.85,2.410354493455765,0.74899155,1.159514993036206,0.9195021810120686,17,#CC0000
Utah St,1.066200730004411,0.83,1.9448777911585715,0.55798274,1.0997653152907456,0.8292493517635818,18,#041E42
McNeese,1.4941500889759671,0.47,1.9259384760640608,0.3382362,1.0570811912600069,0.6217724637533356,19,#003DA6
Purdue,0.7042720654434333,1.27,1.6307966576683135,0.44803256,1.0132753207779366,0.9104359602593123,20,#CDB87D
Wisconsin,-0.3674286951668932,0.91,2.3300943304309127,1.1641151,1.009195183816005,1.0277700946053352,21,#C5050C
Kentucky,-0.4884914514231688,1.72,1.655960043644088,1.1043282,0.9979491980552297,1.2740924660184099,22,#0033A0
Liberty,0.5152682676512121,1.0,1.9211397121924616,0.416855,0.9633157449609184,0.7933902483203061,23,#002D62
Saint Mary's,0.5838015934060756,0.82,2.38531307779746,0.055891335,0.9612515015508839,0.6123809455169612,24,#041E42
Akron,1.1803927453458345,0.35,1.938710733149677,0.37096047,0.9600159871238778,0.5603254857079593,25,#041E42
Memphis,0.8058384993418173,0.55,2.240577648639801,-0.008988362,0.8968569464954046,0.47928952816513487,26,#0033A0
NC Wilmington,1.593826068971801,0.15,1.7142960028049117,0.11991246,0.8945086329441782,0.38814036431472604,27,#006666
Iowa St,-0.6966505600919604,1.19,2.0235033981059263,0.90386766,0.8551801245034915,0.9830159281678305,28,#C8102E
Louisville,0.4664757347291193,0.52,2.1018720880832094,0.29888493,0.8468081882030821,0.5552310394010274,29,#AD0000
Lipscomb,0.5436111069296778,0.57,1.497350828265107,0.59654826,0.8018775487986961,0.656141936266232,30,#682D63
Illinois,-2.7498715079345075,2.97,1.3047300258751902,1.4070354,0.7329734794851708,1.7033362931617237,31,#E84A27
