TEAM,Prediction
Duke,3.4390928312598064
Drake,3.029134465636094
High Point,2.816347811598419
Akron,2.683359921256418
UCSD,2.5772624690521724
VCU,2.5592960636955944
Florida,2.5316237097354417
Houston,2.4844607335393505
Clemson,2.466049814975861
St John's,2.2325153266571895
McNeese,2.05684699866136
Liberty,2.0103309193144874
Gonzaga,1.892519182785481
Saint Mary's,1.7885664211559096
Michigan St,1.6881301448912467
Lipscomb,1.6536435646377008
NC Wilmington,1.5938260689718007
Norfolk St,1.5711694417309765
Robert Morris,1.2479012436215946
Texas Tech,1.2363115198936327
Tennessee,1.1862436379319021
Auburn,1.098491340681619
Memphis,1.068985667250388
Utah St,1.066200730004411
Grand Canyon,0.9665971743461945
Maryland,0.9086912043618938
Colorado St,0.7048713673721245
Purdue,0.690258097396736
Louisville,0.4664757347291193
Mt St Mary's,0.294953630959192
UCLA,0.21885041004747308
Montana,0.14490481640912023
Wisconsin,0.023708760084922176
Troy,-0.1335343393374835
Oregon,-0.14435714778107922
Iowa St,-0.26673059713165514
Oklahoma,-0.32258061796374804
Bryant,-0.37311594649168
New Mexico,-0.37563320414916035
American,-0.3907737000301452
Marquette,-0.3953363462048074
UConn,-0.40528609789735626
Michigan,-0.4061081522693115
Kentucky,-0.4153895119848663
BYU,-0.5708543664032746
Yale,-0.6568904196538732
Creighton,-0.8417120447314907
Xavier,-0.9044125735403235
Missouri,-0.9291138563587502
North Carolina,-1.003793522729211
Kansas,-1.1122392668354486
Alabama,-1.2993309026961164
SIU Edward,-1.32976987967508
Mississippi,-1.3697640623982785
Arizona,-1.4390154071573633
Baylor,-1.4874024421593965
Georgia,-1.6159177334518517
Arkansas,-1.7858683219631715
Omaha,-1.808741324342929
Vanderbilt,-1.8950717067910112
San Diego St,-1.909229154511145
Wofford,-2.150402225570428
St Francis PA,-2.2534349351575216
Alabama St,-2.32194305722415
Texas A&M,-2.345562220985176
Mississippi St,-2.465238111342977
Texas,-2.562643683656024
Illinois,-2.595178251418254
