TEAM,Prediction
Duke,3.887082700122682
Florida,3.430638720103045
Houston,3.278870136514411
Auburn,3.087166677852551
St John's,2.83954907979881
UCSD,2.6252946706502636
Tennessee,2.516276216146366
High Point,2.5055634507427222
Saint Mary's,2.4623303689056826
Michigan St,2.4588134574698364
Texas Tech,2.4492974447579194
Drake,2.443454669298755
Clemson,2.382280965747208
Wisconsin,2.316249807659432
Alabama,2.295667655847023
Gonzaga,2.286795953466718
VCU,2.278088521476049
Memphis,2.2549433383089332
Maryland,2.2354995827439783
Louisville,2.130603467421474
Iowa St,2.017793388445713
Utah St,2.015837628008147
Akron,2.0077672334458487
Liberty,2.0023111210059277
McNeese,1.992917917507612
BYU,1.9068118989866218
NC Wilmington,1.7528915095086326
Missouri,1.7428127033436955
Michigan,1.7409589397657004
Kentucky,1.6820931972320796
UConn,1.6586159523218336
Purdue,1.6446411804397938
New Mexico,1.6207361490163212
Arizona,1.6051922797159603
Lipscomb,1.5703877239673025
Oregon,1.5463752712616181
Colorado St,1.5160081592676684
Marquette,1.441662498988938
Grand Canyon,1.4282510236213037
Creighton,1.370955217402136
UCLA,1.357676507833455
Illinois,1.3251531698029695
Robert Morris,1.3180293808041823
Texas A&M,1.2555971557066161
Yale,1.2352462402798687
Mississippi,1.187264134540357
Montana,1.1309426849216118
Mississippi St,1.0430796353298837
North Carolina,1.0417113411925873
Kansas,0.9708178037456289
Norfolk St,0.908895109320789
Xavier,0.8627170271901448
Troy,0.8543067967673978
Bryant,0.8033500930640798
Oklahoma,0.7811041233387156
Vanderbilt,0.7445207180425171
Georgia,0.7222744124824061
Baylor,0.6945275151709461
Arkansas,0.5880768498509881
Texas,0.5877803183381711
San Diego St,0.5468760117203937
Omaha,0.5209585428217347
SIU Edward,0.30306441487104796
American,0.2812438838115443
Wofford,0.24049315534675197
Mt St Mary's,0.12791179952995524
Alabama St,-0.25471955061443796
St Francis PA,-1.000458320417194
